key	value
schema	package-energy-sample-v1
clock	CLOCK_MONOTONIC
period_ns	50000000
package_wrap_uj	65532610988
core_wrap_uj	65532610988
sampler_pid	2233259
monotonic_ns	package_uj	core_uj	sample_cost_ns
503514126889212	63859939081	8093217021	152332
503514176856538	63860585928	8093225519	124415
503514226855519	63861396189	8093264091	114457
503514276873312	63862370535	8093411209	160657
503514326877761	63863183130	8093466565	128702
503514376883794	63863877003	8093475857	170974
503514426927432	63864527619	8093480725	194685
503514476925731	63865198925	8093506236	206346
503514526867272	63865938328	8093543084	151471
503514576878938	63867084555	8093756635	115840
503514626861846	63868023288	8093779263	110921
503514676873454	63868724942	8093805674	141584
503514726850602	63869373545	8093814646	120848
503514776865826	63870069752	8093838219	112714
503514826866615	63871020127	8093986985	150850
503514876891034	63872093802	8094193212	128411
503514926846585	63872934533	8094237048	96777
503514976878979	63873585592	8094243365	150168
503515026883734	63874270035	8094268770	155518
503515076857537	63874920011	8094277680	126288
503515126854580	63875909111	8094421182	111762
503515176902159	63876919709	8094606795	188625
503515226868399	63877682533	8094633146	111091
503515276896665	63878361697	8094643842	184568
503515327845617	63879040617	8094665462	852128
503515376967572	63879727761	8094676097	233021
503515426854776	63880740617	8094857179	138288
503515476904008	63881812492	8095024346	187313
503515526880655	63882534394	8095032036	167568
503515576843151	63883222407	8095056586	106794
503515626911091	63883872322	8095062048	173870
503515676877095	63884808339	8095114078	116881
503515726858345	63885871623	8095314477	140242
503515776901412	63886915103	8095500975	137597
503515826881370	63887788410	8095515959	101145
503515876871426	63888462706	8095525541	114447
503515926904355	63889143274	8095548245	170303
503515978143603	63890004878	8095573283	155187
503516026856778	63891173412	8095773300	116771
503516076904032	63892082758	8095902856	189326
503516126907310	63892819918	8095927238	151471
503516176912402	63893484755	8095938575	192722
503516226879688	63894195305	8095960912	137677
503516276869363	63894905229	8095990376	155268
503516327842412	63896000372	8096213036	1098863
503516376906442	63896984818	8096317416	193994
503516426899242	63897670757	8096329042	183486
503516476961101	63898353125	8096355027	238471
503516526879994	63899006946	8096365097	142426
503516576896097	63899848943	8096452647	177256
503516626845657	63900939417	8096671523	103258
503516676872681	63901824991	8096783044	120438
503516726930037	63902699504	8096805000	104250
503516777164769	63903380377	8096826514	141974
503516826887838	63904042986	8096836111	152623
503516876894116	63904831046	8096903811	178628
503516926894885	63906003746	8097124243	173389
503516976905821	63906841517	8097192889	188285
503517026877720	63907595597	8097253036	120487
503517076894966	63908278210	8097271300	158824
503517126838276	63908989416	8097300046	89785
503517176880966	63909721800	8097330440	168581
503517226851122	63910739432	8097483722	111452
503517276951322	63911570215	8097544723	252936
503517326942444	63912267612	8097572523	255059
503517376929298	63912968397	8097595197	202399
503517426913880	63913615962	8097603879	195547
503517476901765	63914579337	8097752522	185089
503517526871350	63915668468	8097967873	145030
503517576924863	63916464417	8098023260	141864
503517626911451	63917129589	8098030248	194556
503517676849195	63917824332	8098053944	108416
503517726919357	63918484393	8098058918	185449
503517778484987	63919484662	8098137451	552081
503517826879601	63920555911	8098357349	123844
503517876846987	63921320062	8098376727	98179
503517926887979	63922013873	8098405473	154346
503517976856937	63922666717	8098414033	126809
503518026885597	63923372034	8098441253	154296
503518076876072	63924131547	8098480832	159966
503518126874942	63925225606	8098677904	130064
503518176898253	63925974682	8098689409	187082
503518226851394	63926672568	8098715683	111221
503518276878983	63927320850	8098724396	170294
503518326874737	63927987243	8098743499	120147
503518376858911	63929053671	8098934041	104460
503518426849847	63930073393	8099123591	100123
503518476876033	63930861179	8099151910	136956
503518526840924	63931517792	8099158516	106704
503518576912973	63932238290	8099181022	188706
503518626873259	63932894307	8099185706	162981
503518676847610	63933941754	8099363721	106784
503518726898293	63934963308	8099549502	184838
503518779081483	63935745082	8099577409	2341578
503518826922685	63936584623	8099596222	175212
503518876890164	63937238214	8099605011	177416
503518926916445	63937978441	8099632399	163392
503518976848062	63939012125	8099818120	106424
503519026862011	63940039720	8099983089	119657
503519076900743	63940758326	8099995479	189267
503519126863655	63941468647	8100023889	109459
503519176905843	63942130265	8100029122	191390
503519234103429	63942841425	8100048882	5498712
503519276892540	63943872271	8100218718	176535
503519326851985	63944843351	8100371588	101174
503519376864572	63945594029	8100398244	126669
503519426883791	63946251267	8100408909	151892
503519476887192	63946953135	8100433734	154857
503519526858758	63947635580	8100448000	126568
503519576849409	63948629395	8100592860	105051
503519626899805	63949566373	8100728458	186331
503519676892140	63950324757	8100750643	136125
503519726884726	63950983185	8100756593	171896
503519776882981	63951635282	8100761064	146002
503519828173085	63952379491	8100796325	198903
503519876867973	63953544942	8100973760	108988
503519926876617	63954505800	8101092468	137447
503519976845632	63955215541	8101102889	96867
503520026845931	63955964281	8101135648	99572
503520076880680	63956619490	8101140591	161459
503520128923602	63957410755	8101162853	135554
503520176922589	63958270192	8101263342	157882
503520226895461	63959171574	8101358598	182284
503520276899907	63959938060	8101394805	184658
503520326889057	63960590888	8101399901	153174
503520376922263	63961294954	8101424680	208150
503520427031590	63962073279	8101482783	191160
503520476854583	63963201807	8101698943	116541
503520526899720	63964056057	8101783930	183527
503520577079391	63964792789	8101807503	153265
503520626903169	63965457931	8101813805	185019
503520676907778	63966116741	8101819115	191660
503520726899736	63966952132	8101924242	184509
503520777668183	63968078950	8102146323	185069
503520826843713	63969108331	8102324612	105622
503520877075705	63969783299	8102333141	76402
503520926861227	63970692920	8102376383	115049
503520976862591	63971348374	8102385324	125546
503521026842087	63972248931	8102487568	96236
503521076852587	63973345325	8102708839	134272
503521126875799	63974177619	8102760060	114848
503521176891177	63974872041	8102784671	158965
503521226860816	63975527647	8102790836	128972
503521276904754	63976230384	8102810717	167499
503521326872600	63976978545	8102846665	158132
503521378054210	63978019949	8103026282	1055250
503521426852559	63978782712	8103042791	111973
503521476849435	63979497397	8103065236	111443
503521526870864	63980157244	8103069813	163592
503521577456106	63980823653	8103085712	621603
503521626887079	63981770396	8103238277	167129
503521676892793	63982876327	8103454208	173500
503521726870139	63983682132	8103489011	134332
503521776871796	63984339523	8103495160	160327
503521826846737	63985048089	8103513485	110300
503521876860666	63985701895	8103517971	143328
503521934070552	63986531808	8103583916	24334103
503521976872886	63987676814	8103750594	125957
503522027127850	63988486541	8103790372	392437
503522076912984	63989157755	8103805065	201638
503522126879220	63989816657	8103814022	165516
503522176923050	63990500581	8103835993	209942
503522226864433	63991520533	8104006761	146342
503522276913242	63992596969	8104189704	197401
503522326918616	63993330071	8104202124	199825
503522376853077	63994039659	8104228658	94734
503522426903098	63994700910	8104238088	171776
503522476868322	63995398628	8104263217	110861
503522526866233	63996471983	8104467217	152063
503522577985050	63997495642	8104636123	1044663
503522626908819	63998260800	8104660398	190549
503522676871472	63998925606	8104670255	130515
503522726885042	63999613223	8104692120	148045
503522776857671	64000305662	8104705074	123333
503522826849895	64001182524	8104779624	105833
503522876899217	64002150049	8104924255	186111
503522926854857	64002901292	8104952711	102838
503522976900653	64003599498	8104962583	169843
503523026887437	64004423628	8104985623	136024
503523076907829	64005128304	8105009898	191471
503523126864200	64006021965	8105104132	151872
503523176919403	64006998111	8105226501	200997
503523226945084	64007709561	8105240263	237410
503523276877204	64008421026	8105268887	145521
503523326875087	64009068835	8105277051	167088
503523376842668	64009840096	8105331247	102427
503523426853744	64010934888	8105548384	138940
503523477651467	64011893320	8105672965	148105
503523526897573	64012599048	8105684744	175583
503523576927764	64013259994	8105691687	200396
503523626904583	64013945780	8105715535	184809
503523676892260	64014677279	8105737339	167289
503523726886920	64015696300	8105901316	161889
503523776942314	64016572674	8105990209	215482
503523826851316	64017303822	8106017491	111252
503523876889671	64017959000	8106026630	177356
503523926845955	64018639278	8106045306	102738
503523976886774	64019451736	8106120467	166347
503524040152958	64020869845	8106415267	150850
503524076860937	64021572629	8106435957	109299
503524126831655	64022269233	8106448651	85137
503524176835511	64022962800	8106477046	86279
503524226924603	64023640271	8106486125	206767
503524276896704	64024488799	8106571753	179630
503524326865329	64025583453	8106787120	133070
503524377482053	64026439595	8106862464	149298
503524426894016	64027124267	8106871191	181413
503524477223644	64027786770	8106885366	484877
503524526903179	64028465110	8106906056	181463
503524576884518	64029312142	8106980942	145932
503524626895217	64030454188	8107201130	173860
503524676917366	64031231797	8107240358	197651
503524726848477	64031948343	8107267808	106875
503524776892214	64032629979	8107273194	183587
503524826901300	64033312439	8107295898	185040
503524876860019	64034216506	8107418709	143528
503524928118142	64035350252	8107646801	162470
503524976856003	64036178746	8107693704	116381
503525026892477	64036829866	8107704614	179880
503525076900210	64037524685	8107732215	158333
503525126901523	64038356841	8107745474	169433
503525176906422	64039194688	8107792942	166267
503525226844306	64040180889	8107958705	91778
503525276845769	64040959108	8107990640	99822
503525326867637	64041640179	8108001183	137378
503525376918535	64042307289	8108013481	183226
503525426923615	64042995044	8108035575	203452
503525476876243	64043806464	8108080632	146013
503525527034677	64044842726	8108248302	336592
503525576883989	64045568153	8108261698	173329
503525626848490	64046253664	8108288827	109719
503525676872263	64046927580	8108297707	161339
503525726862888	64047642920	8108325690	127681
503525776852322	64048684737	8108520093	134682
503525827984359	64049778369	8108705721	173590
503525877180242	64050643162	8108749726	214611
503525926886727	64051310761	8108760818	175453
503525976882832	64052178529	8108790129	145040
503526026854355	64053104140	8108821011	114117
503526076848076	64054203357	8109022752	107606
503526126852436	64055184126	8109178704	105252
503526176847268	64056135783	8109221503	97318
503526226885326	64056836293	8109233984	152052
503526276882974	64057509796	8109249990	135554
503526326897952	64058213480	8109268147	185220
503526376855330	64059095713	8109364364	138128
503526426853679	64060073872	8109498817	104540
503526476895473	64060778884	8109508338	163642
503526526846851	64061483956	8109532156	97419
503526576858283	64062166446	8109537588	130285
503526626840054	64062930704	8109587558	99983
503526676859210	64064027464	8109804938	145020
503526726869380	64064969936	8109939727	114949
503526776904824	64065733644	8109955581	168060
503526826881978	64066389601	8109961257	149969
503526876928862	64067070596	8109983655	190499
503526926863662	64067818650	8110018520	144920
