elapsed_s	starred_step	freq1_hz
11.938	1: 400Mhz *	400000000
12.039	1: 400Mhz *	400000000
12.14	1: 400Mhz *	400000000
12.242	1: 400Mhz *	400000000
12.343	1: 400Mhz *	400000000
12.444	1: 400Mhz *	400000000
12.546	1: 400Mhz *	400000000
12.647	1: 400Mhz *	400000000
12.748	1: 400Mhz *	400000000
12.849	1: 400Mhz *	400000000
12.951	1: 400Mhz *	400000000
13.052	1: 400Mhz *	400000000
13.153	1: 400Mhz *	400000000
13.254	1: 400Mhz *	400000000
13.356	1: 400Mhz *	400000000
13.456	1: 400Mhz *	400000000
13.557	1: 400Mhz *	400000000
13.659	1: 400Mhz *	400000000
13.759	1: 400Mhz *	400000000
13.861	1: 400Mhz *	400000000
13.961	1: 400Mhz *	400000000
14.063	1: 400Mhz *	400000000
14.164	1: 400Mhz *	400000000
14.264	1: 400Mhz *	400000000
14.365	1: 400Mhz *	400000000
14.467	1: 400Mhz *	400000000
14.568	1: 400Mhz *	400000000
14.669	1: 400Mhz *	400000000
14.77	1: 400Mhz *	400000000
14.871	1: 400Mhz *	400000000
14.972	1: 400Mhz *	400000000
15.074	1: 400Mhz *	400000000
15.175	1: 400Mhz *	400000000
15.276	1: 400Mhz *	400000000
15.377	1: 400Mhz *	400000000
15.478	1: 400Mhz *	400000000
15.58	1: 400Mhz *	400000000
15.681	1: 400Mhz *	400000000
15.782	1: 400Mhz *	400000000
15.883	1: 400Mhz *	400000000
15.984	1: 400Mhz *	400000000
16.085	1: 400Mhz *	400000000
16.186	1: 400Mhz *	400000000
16.287	1: 400Mhz *	400000000
16.388	1: 400Mhz *	400000000
16.49	1: 400Mhz *	400000000
16.592	1: 400Mhz *	400000000
16.693	1: 400Mhz *	400000000
16.795	1: 400Mhz *	400000000
16.896	1: 400Mhz *	400000000
16.997	1: 400Mhz *	400000000
17.098	1: 400Mhz *	400000000
17.199	1: 400Mhz *	400000000
17.301	1: 400Mhz *	400000000
17.402	1: 400Mhz *	400000000
17.502	1: 400Mhz *	400000000
17.604	1: 400Mhz *	400000000
17.705	1: 400Mhz *	400000000
17.807	1: 400Mhz *	400000000
17.908	1: 400Mhz *	400000000
18.009	1: 400Mhz *	400000000
18.11	1: 400Mhz *	400000000
18.211	1: 400Mhz *	400000000
18.313	1: 400Mhz *	400000000
18.414	1: 400Mhz *	400000000
18.515	1: 400Mhz *	400000000
18.617	1: 400Mhz *	400000000
18.718	2: 1100Mhz *	1100000000
