path	bytes	files	source_class	files_hashed	files_digest_in_evidence	digest_coverage	retention_class
campaigns/image-admission-20260829T123050Z-review	1318357	64	campaign-output	64	23	0.3594	retained-partial
campaigns/image-admission-20260829T103938Z-4b-final	1305479	60	campaign-output	60	21	0.3500	retained-partial
campaigns/image-admission-20260829T102824Z-4b-bounded	1304753	60	campaign-output	60	19	0.3167	retained-partial
campaigns/image-admission-20260829T090114Z-4b	1289761	60	campaign-output	60	17	0.2833	retained-partial
campaigns/image-admission-20260829T093107Z-4b-explicit2	1288925	60	campaign-output	60	17	0.2833	retained-partial
campaigns/image-admission-20260829T091244Z-4b-explicit	1284937	60	campaign-output	60	17	0.2833	retained-partial
campaigns/raven2-served-ab-e4-20260902T2222Z	1231759	204	campaign-output	204	46	0.2255	retained-partial
campaigns/raven2-served-ab-e4-20260902T2139Z	1143032	204	campaign-output	204	49	0.2402	retained-partial
campaigns/raven2-served-ab-e4-20260902T2032Z	1061187	204	campaign-output	204	40	0.1961	retained-partial
campaigns/raven2-e4-quality-20260903T0527Z	961436	6	campaign-output	6	0	0.0000	unmatched
campaigns/raven2-kernel-census-20260902T0222Z-2b-calibration	939426	59	campaign-output	59	15	0.2542	retained-partial
campaigns/raven2-witness-cpu-reference-20260903T0220Z	812345	105	campaign-output	105	50	0.4762	retained-partial
campaigns/qwen-depth-projector-32k	799578	57	campaign-output	57	42	0.7368	retained-partial
campaigns/raven2-kernel-census-20260902T0307Z-2b-calibration-v3	541886	65	campaign-output	65	10	0.1538	retained-partial
campaigns/qwen-depth-wedge-32k	528835	134	campaign-output	134	123	0.9179	retained-partial
campaigns/raven2-witness-margin-holdout-20260903T0451Z	410010	17	campaign-output	17	5	0.2941	retained-partial
campaigns/gpu-decomp	370563	14	campaign-output	14	5	0.3571	retained-partial
campaigns/raven2-e1-isa-e4-20260903T0140Z-modules	369272	28	campaign-output	28	0	0.0000	unmatched
campaigns/raven2-e1-isa-20260902T1312Z-modules	367272	28	campaign-output	28	0	0.0000	unmatched
campaigns/raven2-e1-isa-20260902T1427Z-modules	367272	28	campaign-output	28	0	0.0000	unmatched
campaigns/raven2-e1-isa-20260902T1914Z-modules	367272	28	campaign-output	28	0	0.0000	unmatched
campaigns/raven2-e1-isa-20260902T2039Z-modules	367272	28	campaign-output	28	0	0.0000	unmatched
campaigns/raven2-e1-isa-20260902T2144Z-modules	367272	28	campaign-output	28	0	0.0000	unmatched
campaigns/qwen-quality-roster	272132	13	campaign-output	13	13	1.0000	retained-whole
campaigns/web-live-admission-20260903T0724Z	240909	47	campaign-output	47	19	0.4043	retained-partial
campaigns/web-live-admission-web-open-20260903T0810Z	194160	50	campaign-output	50	19	0.3800	retained-partial
campaigns/qwen-speculation-matrix-2	192116	66	campaign-output	66	5	0.0758	retained-partial
campaigns/raven2-dpm-authority-20260902T1820Z-postload	185551	23	campaign-output	23	20	0.8696	retained-partial
campaigns/qwen-speculation-matrix-3	177332	66	campaign-output	66	8	0.1212	retained-partial
campaigns/qwen-depth-wedge	162362	22	campaign-output	22	2	0.0909	retained-partial
campaigns/qwen-build-logs	150487	13	campaign-output	13	0	0.0000	unmatched
campaigns/qwen-speculation-matrix-4	147697	53	campaign-output	53	4	0.0755	retained-partial
campaigns/raven2-dpm-authority-20260902T1813Z	146524	20	campaign-output	20	20	1.0000	retained-whole
campaigns/qwen-download-logs	137371	4	campaign-output	4	1	0.2500	retained-partial
campaigns/qwen-speculation-matrix-5	127559	40	campaign-output	40	3	0.0750	retained-partial
campaigns/qwen-vision-tool-sweep	123341	25	campaign-output	25	25	1.0000	retained-whole
campaigns/raven2-nice-probe-20260902T2154Z	121649	33	campaign-output	33	33	1.0000	retained-whole
campaigns/image-admission-20260829T082749Z	111977	52	campaign-output	52	11	0.2115	retained-partial
campaigns/image-admission-20260829T084021Z-4b	111391	52	campaign-output	52	12	0.2308	retained-partial
campaigns/qwen-trace-campaign	111299	20	campaign-output	20	19	0.9500	retained-partial
campaigns/image-admission-20260829T075751Z	106632	52	campaign-output	52	6	0.1154	retained-partial
campaigns/qwen-quality-f16-pair	101724	5	campaign-output	5	5	1.0000	retained-whole
campaigns/qwen-speculation-matrix-6	85164	27	campaign-output	27	2	0.0741	retained-partial
campaigns/raven2-fclk-rescind-20260902T2048Z	76143	6	campaign-output	6	6	1.0000	retained-whole
campaigns/qwen-speculation-matrix	74541	27	campaign-output	27	2	0.0741	retained-partial
campaigns/image-admission-20260829T075703Z	68514	18	campaign-output	18	2	0.1111	retained-partial
campaigns/qwen-universal-sweep	60686	29	campaign-output	29	0	0.0000	unmatched
campaigns/raven2-kernel-delta-witness-20260903T0146Z	50066	9	campaign-output	9	3	0.3333	retained-partial
campaigns/raven2-kernel-delta-witness-20260903T0140Z	49216	9	campaign-output	9	3	0.3333	retained-partial
campaigns/qwen-quality-gate	46648	13	campaign-output	13	0	0.0000	unmatched
campaigns/bundle-router-regression-20260901T2352Z	45672	46	campaign-output	46	13	0.2826	retained-partial
campaigns/bundle-router-regression-20260901T2255Z	42630	40	campaign-output	40	13	0.3250	retained-partial
campaigns/raven2-dpm-actual-20260902T1822Z	37721	10	campaign-output	10	10	1.0000	retained-whole
campaigns/raven2-dpm-manual-20260902T1826Z	36663	12	campaign-output	12	12	1.0000	retained-whole
campaigns/bundle-router-regression-20260901T2055Z	32281	28	campaign-output	28	12	0.4286	retained-partial
campaigns/qwen-quality-prefixed	24964	5	campaign-output	5	3	0.6000	retained-partial
campaigns/bundle-router-regression-20260901T2054Z	24584	18	campaign-output	18	3	0.1667	retained-partial
campaigns/qwen-priority-probe	24049	25	campaign-output	25	0	0.0000	unmatched
campaigns/qwen-quality-repeat-3	15550	5	campaign-output	5	3	0.6000	retained-partial
campaigns/qwen-quality-repeat-2	15547	5	campaign-output	5	3	0.6000	retained-partial
campaigns/qwen-quality-repeat-1	15546	5	campaign-output	5	3	0.6000	retained-partial
campaigns/qwen-vision-review-control	13086	21	campaign-output	21	19	0.9048	retained-partial
campaigns/qwen-universal-sweep-prefill-defect	12150	15	campaign-output	15	1	0.0667	retained-partial
campaigns/raven2-kernel-census-20260902T0035Z-2b-calibration	11310	44	campaign-output	44	8	0.1818	retained-partial
campaigns/qwen-depth-wedge-preprotocol	10210	5	campaign-output	5	1	0.2000	retained-partial
campaigns/qwen-vision-review	10151	17	campaign-output	17	16	0.9412	retained-partial
campaigns/qwen-kv-cache-factorial	9702	16	campaign-output	16	0	0.0000	unmatched
campaigns/raven2-fclk-level3-20260902T2002Z	6603	4	campaign-output	4	4	1.0000	retained-whole
campaigns/qwen-dpm-force	6418	9	campaign-output	9	0	0.0000	unmatched
campaigns/qwen-graph-alias-ab	6114	6	campaign-output	6	1	0.1667	retained-partial
campaigns/qwen-bench-repeatability	5817	11	campaign-output	11	0	0.0000	unmatched
campaigns/fd8-repro	5698	18	campaign-output	18	4	0.2222	retained-partial
campaigns/qwen-trace-campaign.attempt1	3238	11	campaign-output	11	7	0.6364	retained-partial
campaigns/qwen-vision-review.run1	2748	10	campaign-output	10	9	0.9000	retained-partial
campaigns/image-admission-20260829T090042Z-4b	2246	5	campaign-output	5	0	0.0000	unmatched
campaigns/image-admission-20260829T075006Z	2193	6	campaign-output	6	0	0.0000	unmatched
campaigns/image-admission-20260829T074819Z	1939	5	campaign-output	5	0	0.0000	unmatched
campaigns/raven2-kernel-census-20260902T0030Z-2b-calibration	1921	19	campaign-output	19	8	0.4211	retained-partial
campaigns/raven2-e1-isa-20260902T0831Z	0	0	campaign-output	0	0	-	empty
