slot	arm	phase	begin_ns	end_ns	note
0i	W	request	1788494500236590192	1788494520547493481	-
0i	W	teardown	1788494520547493481	1788494521445533012	-
0i	W	analysis	1788494521445533012	1788494521679584789	-
0i	W	cooldown	1788494521680495665	1788494534562765068	quiescence=reached elapsed_ms=12873 sclk_forced=0
0j	W	launch	1788494534568682715	1788494544834179826	-
0j	W	request	1788494544834179826	1788494565139422506	-
0j	W	teardown	1788494565139422506	1788494566169185967	-
0j	W	analysis	1788494566169185967	1788494566404142868	-
0j	W	cooldown	1788494566405579002	1788494579102791528	quiescence=reached elapsed_ms=12686 sclk_forced=0
0k	W	launch	1788494579108107073	1788494589285153889	-
0k	W	request	1788494589285153889	1788494609597654030	-
0k	W	teardown	1788494609597654030	1788494610594077589	-
0k	W	analysis	1788494610594077589	1788494610834946606	-
0k	W	cooldown	1788494610835856273	1788494624466550706	quiescence=reached elapsed_ms=13622 sclk_forced=0
0l	W	launch	1788494624471872130	1788494634710037604	-
0l	W	request	1788494634710037604	1788494655037287676	-
0l	W	teardown	1788494655037287676	1788494655907603811	-
0l	W	analysis	1788494655907603811	1788494656145694016	-
0l	W	cooldown	1788494656147205678	1788494668811873025	quiescence=reached elapsed_ms=12653 sclk_forced=0
0m	W	launch	1788494668817526476	1788494679021200021	-
0m	W	request	1788494679021200021	1788494699320911258	-
0m	W	teardown	1788494699320911258	1788494700221100179	-
0m	W	analysis	1788494700221100179	1788494700463240569	-
0m	W	cooldown	1788494700464779154	1788494714468347829	quiescence=reached elapsed_ms=13992 sclk_forced=0
0n	W	launch	1788494714473885595	1788494724687759857	-
0n	W	request	1788494724687759857	1788494744991784762	-
0n	W	teardown	1788494744991784762	1788494746018764289	-
0n	W	analysis	1788494746018764289	1788494746258900797	-
0n	W	cooldown	1788494746260318212	1788494758213415908	quiescence=reached elapsed_ms=11942 sclk_forced=0
0o	W	launch	1788494758219306209	1788494768430516733	-
0o	W	request	1788494768430516733	1788494788735683496	-
0o	W	teardown	1788494788735683496	1788494789654407445	-
0o	W	analysis	1788494789654407445	1788494789896175898	-
0o	W	cooldown	1788494789897576151	1788494803970515281	quiescence=reached elapsed_ms=14062 sclk_forced=0
0p	W	launch	1788494803975903461	1788494814199646698	-
0p	W	request	1788494814199646698	1788494834496562366	-
0p	W	teardown	1788494834496562366	1788494835512348466	-
0p	W	analysis	1788494835512348466	1788494835756321789	-
0p	W	cooldown	1788494835757800582	1788494849009203554	quiescence=reached elapsed_ms=13239 sclk_forced=0
1	C	launch	1788494849015172953	1788494859238663133	-
1	C	request	1788494859238663133	1788494879541394683	-
1	C	teardown	1788494879541394683	1788494880555874128	-
1	C	analysis	1788494880555874128	1788494880807170355	-
1	C	cooldown	1788494880808600998	1788494893067451612	quiescence=reached elapsed_ms=12249 sclk_forced=0
2	K	launch	1788494893073185376	1788494903295582775	-
2	K	request	1788494903295582775	1788494923599552063	-
2	K	teardown	1788494923599552063	1788494924605756341	-
2	K	analysis	1788494924605756341	1788494924850274712	-
2	K	cooldown	1788494924851808071	1788494937924081841	quiescence=reached elapsed_ms=13060 sclk_forced=0
3	K	launch	1788494937928466569	1788494948147653502	-
3	K	request	1788494948147653502	1788494968448964377	-
3	K	teardown	1788494968448964377	1788494969453935885	-
3	K	analysis	1788494969453935885	1788494969685817886	-
3	K	cooldown	1788494969687333482	1788494981905190333	quiescence=reached elapsed_ms=12207 sclk_forced=0
4	C	launch	1788494981909665985	1788494992107310387	-
4	C	request	1788494992107310387	1788495012413371073	-
4	C	teardown	1788495012413371073	1788495013307314783	-
4	C	analysis	1788495013307314783	1788495013556169847	-
4	C	cooldown	1788495013557589972	1788495027020121266	quiescence=reached elapsed_ms=13451 sclk_forced=0
5	C	launch	1788495027025851539	1788495037225640393	-
5	C	request	1788495037225640393	1788495057529005653	-
5	C	teardown	1788495057529005653	1788495058565545586	-
5	C	analysis	1788495058565545586	1788495058819162555	-
5	C	cooldown	1788495058820547633	1788495072233973335	quiescence=reached elapsed_ms=13402 sclk_forced=0
6	K	launch	1788495072238345563	1788495082462252430	-
6	K	request	1788495082462252430	1788495105704358256	-
6	K	teardown	1788495105704358256	1788495106708598301	-
6	K	analysis	1788495106708598301	1788495106928981761	-
6	K	cooldown	1788495106930141851	1788495115227741991	quiescence=reached elapsed_ms=8286 sclk_forced=0
7	K	launch	1788495115232693109	1788495125935769365	-
7	K	request	1788495125935769365	1788495146263770861	-
7	K	teardown	1788495146263770861	1788495147281927765	-
7	K	analysis	1788495147281927765	1788495147489821077	-
7	K	cooldown	1788495147490769097	1788495160332125510	quiescence=reached elapsed_ms=12831 sclk_forced=0
8	C	launch	1788495160336806850	1788495170882285268	-
8	C	request	1788495170882285268	1788495191737328403	-
8	C	teardown	1788495191737328403	1788495192675095255	-
8	C	analysis	1788495192675095255	1788495192889744371	-
8	C	cooldown	1788495192890782923	1788495205300519161	quiescence=reached elapsed_ms=12399 sclk_forced=0
-	-	campaign	1788494131720009390	1788495205394964651	-
