key	value
schema	package-energy-sample-v1
clock	CLOCK_MONOTONIC
period_ns	50000000
package_wrap_uj	65532610988
core_wrap_uj	65532610988
sampler_pid	2204547
monotonic_ns	package_uj	core_uj	sample_cost_ns
503259037290936	61850122867	7870010744	119010
503259087286207	61850771591	7870227667	117797
503259137281378	61851403562	7870404141	100265
503259187286948	61852037227	7870591372	116806
503259237278953	61852662744	7870790153	100887
503259287280606	61853304541	7870970015	102519
503259337282258	61853931905	7871141713	103901
503259387394926	61854569933	7871330287	235735
503259437365411	61855184464	7871493852	127996
503259487281616	61855827436	7871676750	102089
503259537281435	61856454433	7871876233	103291
503259587727500	61857136451	7872103791	103050
503259637292879	61857730490	7872298834	120873
503259687291619	61858404696	7872536447	120512
503259737326284	61858984256	7872855309	180142
503259792771553	61859569675	7873158622	5610391
503259837279942	61860197175	7873375591	101488
503259887279323	61860767122	7873651730	100936
503259937308648	61861376847	7873748939	149195
503259987314641	61861886831	7873882767	172358
503260037399580	61862451636	7874109714	240624
503260087356922	61863058477	7874359244	208284
503260137361282	61863688709	7874613290	221959
503260188295658	61864310228	7874860744	840421
503260237271800	61864920411	7875099074	108981
503260287336151	61865452274	7875287083	182337
503260337307379	61865966942	7875437740	140028
503260387327829	61866487240	7875621172	184300
503260437310508	61867012695	7875783166	138716
503260487336728	61867489721	7875924409	185703
503260544074221	61868009607	7876105629	6278925
503260587331463	61868506209	7876252609	180893
503260637310659	61869012073	7876424872	165936
503260687312936	61869584827	7876650706	173700
503260737308953	61870159703	7876889692	168250
503260787319295	61870876371	7877054981	184290
503260837377196	61871408448	7877143432	213544
503260888897765	61872094540	7877229380	1575376
503260941065388	61872926909	7877316214	2532152
503260987297860	61873603266	7877412156	122255
503261037285000	61874216058	7877482282	112708
503261087972652	61874854925	7877543512	129679
503261137336733	61875407738	7877625448	158272
503261187304537	61876040899	7877676135	127896
503261238422413	61876704058	7877759748	108079
503261287354536	61877276248	7877838907	111766
503261339580758	61877916550	7877942753	339686
503261387306956	61878518875	7877997209	128487
503261437262457	61879153226	7878083996	90126
503261487323433	61879829064	7878170479	135830
503261538125246	61880430275	7878394847	108800
503261587278709	61881225568	7878480811	104323
503261637287271	61882045197	7878588899	118278
503261687254426	61882814063	7878709666	81521
503261737298933	61883072350	7878716868	121675
503261787261620	61883560698	7878758812	87081
503261837274910	61883827835	7878766334	119400
503261887350285	61884400971	7878934569	106386
503261937284819	61885190786	7879183534	105865
503261987303559	61885968486	7879226393	126534
503262037317541	61886642661	7879243360	157330
503262087345818	61887273839	7879252149	185012
503262138083064	61888186328	7879410756	87451
503262187302319	61889055561	7879555997	125412
503262237308426	61889951175	7879650459	129439
503262287322017	61890805242	7879742449	163802
503262337304199	61891671164	7879839856	125231
503262387295308	61892494821	7879930184	119430
503262437712173	61893362956	7880030780	119661
503262487319684	61894216748	7880126707	132214
503262537281790	61895085035	7880215920	101517
503262588214197	61895990933	7880342363	202304
503262637295810	61896848249	7880423841	116986
503262687277985	61897746350	7880531288	103461
503262737374971	61898533251	7880596333	232028
503262787312533	61899370244	7880678253	139297
503262837354428	61900228400	7880762355	677631
503262887339789	61901055170	7880852255	173029
503262937357980	61901941873	7880944948	216178
503262987615713	61902963442	7881036328	455851
503263037311509	61903848772	7881131477	144457
503263087372809	61904689991	7881219881	226979
503263137310692	61905608447	7881328442	139017
503263187357736	61906447408	7881418358	212802
503263237281503	61907365237	7881535936	100826
503263287370475	61908205404	7881623486	191965
503263337429882	61909068549	7881715278	113810
503263387308715	61909970877	7881837434	133867
503263437290960	61910814675	7881930797	112007
503263487392735	61911690728	7882044805	209296
503263538415029	61912548945	7882133790	140059
503263587304699	61913463769	7882239268	121875
503263637367384	61914316645	7882319373	1585736
503263687346194	61915160534	7882407183	168281
503263737357454	61915992889	7882481794	203445
503263794441886	61916893721	7882593437	4092481
503263837367381	61917710757	7882653569	227720
503263887365437	61918547856	7882738220	223302
503263938107195	61919458988	7882861658	1511289
503263987369673	61920316884	7882949345	2939233
503264037335820	61921337308	7883090100	147673
