monitor_start_utc=2026-09-04T04:12:50Z server_pid=2928545 sample_seconds=1 profile=low-async latency_watchdog_pid=2929119 kernel_hazard_watchdog_pid=2929128 guard_affinity=1 guard_nice=0
threshold_mem_available_kib=4194304 threshold_swapin_bytes_per_sample=67108864 report_temperature_millicelsius=90000
threshold_maximum_gpu_busy_percent=100 enforcement=terminate_on_sample_above_threshold
sample_utc=2026-09-04T04:12:50Z affinity=0 nice=19 rss_kib=179040 peak_rss_kib=179040 mem_available_kib=26027048 swapin_bytes=0 max_temp_millicelsius=74000 gpu_busy_percent=11 gtt_used_bytes=1202749440 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 400Mhz *;2: 1100Mhz ; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:13:02Z affinity=0 nice=19 rss_kib=182720 peak_rss_kib=182720 mem_available_kib=26028564 swapin_bytes=0 max_temp_millicelsius=81875 gpu_busy_percent=98 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 1016Mhz *;2: 1100Mhz ; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:13:03Z affinity=0 nice=19 rss_kib=182720 peak_rss_kib=182720 mem_available_kib=26079028 swapin_bytes=0 max_temp_millicelsius=81625 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 1016Mhz *;2: 1100Mhz ; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:13:04Z affinity=0 nice=19 rss_kib=182720 peak_rss_kib=182720 mem_available_kib=26035472 swapin_bytes=0 max_temp_millicelsius=80250 gpu_busy_percent=98 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 1033Mhz *;2: 1100Mhz ; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:13:05Z affinity=0 nice=19 rss_kib=182720 peak_rss_kib=182720 mem_available_kib=26060760 swapin_bytes=0 max_temp_millicelsius=79500 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:13:06Z affinity=0 nice=19 rss_kib=182720 peak_rss_kib=182720 mem_available_kib=26038264 swapin_bytes=0 max_temp_millicelsius=80000 gpu_busy_percent=98 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 1000Mhz *;2: 1100Mhz ; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:13:07Z affinity=0 nice=19 rss_kib=182720 peak_rss_kib=182720 mem_available_kib=26092008 swapin_bytes=0 max_temp_millicelsius=80000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 1033Mhz *;2: 1100Mhz ; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:13:08Z affinity=0 nice=19 rss_kib=182720 peak_rss_kib=182720 mem_available_kib=26023932 swapin_bytes=0 max_temp_millicelsius=79000 gpu_busy_percent=78 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 400Mhz *;2: 1100Mhz ; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:13:09Z affinity=0 nice=19 rss_kib=182720 peak_rss_kib=182720 mem_available_kib=25974804 swapin_bytes=0 max_temp_millicelsius=79500 gpu_busy_percent=98 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 957Mhz *;2: 1100Mhz ; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:13:10Z affinity=0 nice=19 rss_kib=182720 peak_rss_kib=182720 mem_available_kib=25823248 swapin_bytes=0 max_temp_millicelsius=80500 gpu_busy_percent=95 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 985Mhz *;2: 1100Mhz ; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:13:11Z affinity=0 nice=19 rss_kib=182784 peak_rss_kib=182784 mem_available_kib=25730896 swapin_bytes=0 max_temp_millicelsius=81125 gpu_busy_percent=16 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 400Mhz *;2: 1100Mhz ; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
