relative_path	source_sha256	retained_sha256	substitutions
hp-memory-firmware-rca/hp-memory-clock-readonly.sh	7d981c9b7868fe58e0cf8228f04c4c8fc1ebbc9836cb7cda9f58dc975183733c	7d981c9b7868fe58e0cf8228f04c4c8fc1ebbc9836cb7cda9f58dc975183733c	0
hp-memory-firmware-rca/spd-access-baseline.txt	01c469c4a8b1e4e72b8138e8350689d53fd714fa8e2dbceafc7314491eb2b183	01c469c4a8b1e4e72b8138e8350689d53fd714fa8e2dbceafc7314491eb2b183	0
hp-memory-firmware-rca/existing-kernel-memory-clock.txt	833da3daf660659abb0caef06320b3946b4df478d5b4412c3e6cc11119362849	e8810df11dc0288382df7b70406190500a70cf61368b1bf25018e53f1021e43e	1
hp-memory-firmware-rca/hp-vm-acceleration-inventory.sh	3c2a004a8940454c320f59be63a57bf280babf0f57abef7c2c331bffd3037691	3c2a004a8940454c320f59be63a57bf280babf0f57abef7c2c331bffd3037691	0
hp-memory-firmware-rca/vm-acceleration-inventory.txt	6f6f92a3c5725f9064bae3264421792589ae0e5b0f6765327f7eb0b9f81d3351	496723d02423b73055796102c97a0d8bcdb8a0a71b4e17a9643708298c887133	8
hp-memory-firmware-rca/hp-memory-mclk-stress-test.sh	36fe6b065a94e51dae89b28edfa4381115f47e8da44964fe1c54fa6a1560c5d9	36fe6b065a94e51dae89b28edfa4381115f47e8da44964fe1c54fa6a1560c5d9	0
hp-memory-firmware-rca/ryzen_smu-missing-prototypes.patch	b09f98568d71e8f00b75edfbf5bd4e1505a36bb7ad4d18bdf9bc7852b2d5ad3c	b09f98568d71e8f00b75edfbf5bd4e1505a36bb7ad4d18bdf9bc7852b2d5ad3c	0
hp-memory-firmware-rca/ryzen_smu-build.log	b2dfba40fbfb3ec11f19875403cf330842ec9d78e8d8ce8ff637801e34794026	ce7394fa01a5e5abfc2271512001a1ed35f993a240302e2d13e9963c6498ed10	4
hp-memory-firmware-rca/spd-channel-a-slot1.bin	b532f1891a56a7f63202ee2800b7f8857b94e0daf6c001c3dcdd2cea12eb0db7	b532f1891a56a7f63202ee2800b7f8857b94e0daf6c001c3dcdd2cea12eb0db7	binary
hp-memory-firmware-rca/spd-channel-b-slot2.bin	89aa7cb87760d48be8784a21b2b7997ea86db9172e415683b654a21cd186650a	89aa7cb87760d48be8784a21b2b7997ea86db9172e415683b654a21cd186650a	binary
hp-memory-firmware-rca/spd-blobs.sha256	98e643776ce50cc7b9ac8febd5541875e4300a3d61127dc291896282f2f7521c	04e27bcfc2038d6045c89475725ae6a4032ab1cee6a4874a7004a05c90ac7e39	2
hp-memory-firmware-rca/tmux-session.log	556b228a5ace342dadfd7af416c8e2d62a81c57c7fa4fb84d04eacc2837e95fe	c8a1c8f3bbb257b43fbe3a196b2d3b1d11ab6e75428a8f146afc44d2b770c446	5
